row,institution,country,size,focus,research,status,age,score_14,score_13,score_12,rank_14,rank_13,rank_12
1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),US,M,CO,VH,B,5,100,100,100,1,1,1
2,IMPERIAL COLLEGE LONDON,UK,L,FC,VH,A,5,99.4,,,2,,
3,UNIVERSITY OF CAMBRIDGE,UK,L,FC,VH,A,5,99.4,,,2,,
4,HARVARD UNIVERSITY,US,L,FC,VH,B,5,99.3,99.2,99.15,3,2,2
5,UCL (UNIVERSITY COLLEGE LONDON),UK,L,FC,VH,A,5,99.2,,,4,,
6,UNIVERSITY OF OXFORD,UK,L,FC,VH,A,5,99.2,,,4,,
7,STANFORD UNIVERSITY,US,L,FC,VH,A,5,98.3,96.8,91.68,5,3,9
8,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),US,S,CO,VH,B,5,97.1,96.1,95.05,6,5,5
9,PRINCETON UNIVERSITY,US,M,CO,VH,B,5,96.6,96.1,95.37,7,5,4
10,YALE UNIVERSITY,US,L,FC,VH,B,5,96.5,,,8,,
11,UNIVERSITY OF CHICAGO,US,L,FC,VH,B,5,95.5,96.2,96.27,9,4,3
12,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),CH,L,CO,VH,A,5,95.3,,,10,,
13,UNIVERSITY OF PENNSYLVANIA,US,L,FC,VH,B,5,94.5,93.8,94.5,11,6,7
14,COLUMBIA UNIVERSITY,US,L,FC,VH,B,5,94.1,93.6,94.68,12,7,6
15,JOHNS HOPKINS UNIVERSITY,US,L,FC,VH,B,5,94.1,92.1,91.18,12,9,10
16,KING'S COLLEGE LONDON (KCL),UK,L,FC,VH,A,5,92.9,,,13,,
17,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),CH,M,FO,VH,A,5,92.8,90.9,85.08,14,11,20
18,UNIVERSITY OF EDINBURGH,UK,L,FC,VH,A,5,92.8,,,14,,
19,CORNELL UNIVERSITY,US,L,FC,VH,B,5,92.6,92.5,92.08,15,8,8
